sess,graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
2,modular,177,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,178,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,179,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,180,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,181,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,182,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,183,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,184,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,185,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,186,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,187,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,188,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,189,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,190,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,191,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,192,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,193,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,194,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,195,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,196,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,197,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,198,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,199,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,200,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,201,q,img/target_1.png,60,4,,,,'--',,'--',
